book,priority,cap,ticker,target_pct,stop_pct,time_cap_days,trades,active_months,take_profit_rate_pct,test_take_profit_rate_pct,profitable_rate_pct,test_profitable_rate_pct,average_trade_return_pct,test_average_trade_return_pct,profit_factor,test_profit_factor,score,strategy_code,strategy_label,entry_rule,trade_direction,state_signature,feature_keys,first_trade_date,last_trade_date
swing-raro-7d-7,1,7D,BEEF3,7.0,10.0,7,10,4,90.0,100.0,90.0,100.0,5.7162,7.0,10.7914,INF,984.3018340527577,asset_long_open_tp7_sl10_cap7__3f__sma50_slope_10d=dn_5_10__range_position_20d=middle__drawdown_5d=dd_1_3,"Discovery Acao: compra no open, alvo +7% / stop -10% / cap 7D | Inclinacao da MM50 em 10D: abaixo forte; Posicao no range 20D: fechou no meio; Queda desde maxima 5D: 1% a 3% abaixo da maxima",open,long,Inclinacao da MM50 em 10D: abaixo forte; Posicao no range 20D: fechou no meio; Queda desde maxima 5D: 1% a 3% abaixo da maxima,"sma50_slope_10d,range_position_20d,drawdown_5d",2025-06-27,2026-05-11
swing-raro-7d-7,2,7D,VAMO3,7.0,10.0,7,9,5,100.0,100.0,100.0,100.0,7.0,7.0,INF,INF,1059.0506067421813,asset_long_open_tp7_sl10_cap7__3f__positive_days_5d=soft_strong__rsi_14=neutral_high__close_vs_ema9=up_5_10,"Discovery Acao: compra no open, alvo +7% / stop -10% / cap 7D | Dias positivos nos ultimos 5 pregoes: 3 dias positivos em 5D; RSI 14 periodos: RSI neutro alto; Fechamento vs EMA9: acima forte",open,long,Dias positivos nos ultimos 5 pregoes: 3 dias positivos em 5D; RSI 14 periodos: RSI neutro alto; Fechamento vs EMA9: acima forte,"positive_days_5d,rsi_14,close_vs_ema9",2025-05-29,2026-04-14
swing-principal-7d-5,6,7D,ASAI3,5.0,10.0,7,13,4,100.0,100.0,100.0,100.0,5.0,5.0,INF,INF,964.5782134851213,asset_long_open_tp5_sl10_cap7__3f__prev_ret_10d=shock_up__sma20_vs_sma50=dn_1_5__rsi_14=neutral_high,"Discovery Acao: compra no open, alvo +5% / stop -10% / cap 7D | Retorno acumulado 10D: choque de alta; MM20 vs MM50: abaixo leve; RSI 14 periodos: RSI neutro alto",open,long,Retorno acumulado 10D: choque de alta; MM20 vs MM50: abaixo leve; RSI 14 periodos: RSI neutro alto,"prev_ret_10d,sma20_vs_sma50,rsi_14",2025-11-14,2026-04-09
swing-principal-7d-5,3,7D,AZZA3,5.0,10.0,7,15,7,93.33333333333333,100.0,93.33333333333333,100.0,4.5278133333333335,5.0,33.6086,INF,957.3182476482029,asset_long_open_tp5_sl10_cap7__3f__close_vs_sma50=far_dn__sma20_vs_sma50=dn_5_10__volume_ratio_20d=very_low,"Discovery Acao: compra no open, alvo +5% / stop -10% / cap 7D | Fechamento vs MM50: muito abaixo; MM20 vs MM50: abaixo forte; Volume vs media 20D: muito baixo",open,long,Fechamento vs MM50: muito abaixo; MM20 vs MM50: abaixo forte; Volume vs media 20D: muito baixo,"close_vs_sma50,sma20_vs_sma50,volume_ratio_20d",2025-07-22,2026-05-05
swing-principal-7d-5,4,7D,BRKM5,5.0,10.0,7,15,5,100.0,100.0,100.0,100.0,5.0,5.0,INF,INF,958.9087300724455,asset_long_open_tp5_sl10_cap7__3f__close_vs_sma50=far_dn__rsi_14=neutral_low__atr_return_5d=rel_dn,"Discovery Acao: compra no open, alvo +5% / stop -10% / cap 7D | Fechamento vs MM50: muito abaixo; RSI 14 periodos: RSI neutro baixo; Retorno 5D normalizado por ATR: abaixo do normal",open,long,Fechamento vs MM50: muito abaixo; RSI 14 periodos: RSI neutro baixo; Retorno 5D normalizado por ATR: abaixo do normal,"close_vs_sma50,rsi_14,atr_return_5d",2025-07-23,2026-04-27
swing-principal-7d-5,7,7D,CEAB3,5.0,10.0,7,13,5,92.3076923076923,100.0,92.3076923076923,100.0,3.8461538461538463,5.0,6.0000,INF,890.1519314338393,asset_long_open_tp5_sl10_cap7__2f__prev_ret_20d=shock_dn__range_position_20d=middle,"Discovery Acao: compra no open, alvo +5% / stop -10% / cap 7D | Retorno acumulado 20D: choque de baixa; Posicao no range 20D: fechou no meio",open,long,Retorno acumulado 20D: choque de baixa; Posicao no range 20D: fechou no meio,"prev_ret_20d,range_position_20d",2025-08-04,2026-03-31
swing-principal-7d-5,13,7D,CSAN3,5.0,10.0,7,10,5,90.0,100.0,90.0,100.0,3.5,5.0,4.5000,INF,872.3888888888889,asset_long_open_tp5_sl10_cap7__3f__intraday_return_prev=up_3_5__streak_direction=up_1__positive_days_5d=soft_weak,"Discovery Acao: compra no open, alvo +5% / stop -10% / cap 7D | Retorno intraday do candle de referencia: alta de 3% a 5%; Sequencia de altas/quedas: alta no ultimo pregao; Dias positivos nos ultimos 5 pregoes: 2 dias positivos em 5D",open,long,Retorno intraday do candle de referencia: alta de 3% a 5%; Sequencia de altas/quedas: alta no ultimo pregao; Dias positivos nos ultimos 5 pregoes: 2 dias positivos em 5D,"intraday_return_prev,streak_direction,positive_days_5d",2025-08-13,2026-04-29
swing-principal-7d-5,5,7D,CSNA3,5.0,10.0,7,15,6,100.0,100.0,100.0,100.0,5.0,5.0,INF,INF,944.9087300724455,asset_long_open_tp5_sl10_cap7__3f__sma20_vs_sma50=dn_5_10__rsi_14=neutral_low__volume_spike_1d=very_low,"Discovery Acao: compra no open, alvo +5% / stop -10% / cap 7D | MM20 vs MM50: abaixo forte; RSI 14 periodos: RSI neutro baixo; Spike de volume vs maximo 5D: muito baixo",open,long,MM20 vs MM50: abaixo forte; RSI 14 periodos: RSI neutro baixo; Spike de volume vs maximo 5D: muito baixo,"sma20_vs_sma50,rsi_14,volume_spike_1d",2025-06-30,2026-05-06
swing-principal-7d-5,14,7D,CURY3,5.0,10.0,7,9,4,100.0,100.0,100.0,100.0,5.0,5.0,INF,INF,960.9196543612289,asset_long_open_tp5_sl10_cap7__3f__prev_ret_10d=shock_up__sma20_vs_sma50=dn_1_5__rsi_14=neutral_high,"Discovery Acao: compra no open, alvo +5% / stop -10% / cap 7D | Retorno acumulado 10D: choque de alta; MM20 vs MM50: abaixo leve; RSI 14 periodos: RSI neutro alto",open,long,Retorno acumulado 10D: choque de alta; MM20 vs MM50: abaixo leve; RSI 14 periodos: RSI neutro alto,"prev_ret_10d,sma20_vs_sma50,rsi_14",2025-10-27,2026-04-07
swing-principal-7d-5,10,7D,DIRR3,5.0,10.0,7,11,5,90.9090909090909,100.0,90.9090909090909,100.0,3.6363636363636362,5.0,5.0000,INF,882.3701025202269,asset_long_open_tp5_sl10_cap7__3f__sma20_vs_sma50=far_dn__range_position_5d=middle__positive_days_5d=soft_strong,"Discovery Acao: compra no open, alvo +5% / stop -10% / cap 7D | MM20 vs MM50: muito abaixo; Posicao no range 5D: fechou no meio; Dias positivos nos ultimos 5 pregoes: 3 dias positivos em 5D",open,long,MM20 vs MM50: muito abaixo; Posicao no range 5D: fechou no meio; Dias positivos nos ultimos 5 pregoes: 3 dias positivos em 5D,"sma20_vs_sma50,range_position_5d,positive_days_5d",2025-08-19,2026-02-04
swing-principal-7d-5,11,7D,HAPV3,5.0,10.0,7,11,6,90.9090909090909,100.0,90.9090909090909,100.0,3.6363636363636362,5.0,5.0000,INF,885.1796263297506,asset_long_open_tp5_sl10_cap7__2f__sma20_slope_5d=dn_1_5__close_vs_ema9=up_1_5,"Discovery Acao: compra no open, alvo +5% / stop -10% / cap 7D | Inclinacao da MM20 em 5D: abaixo leve; Fechamento vs EMA9: acima leve",open,long,Inclinacao da MM20 em 5D: abaixo leve; Fechamento vs EMA9: acima leve,"sma20_slope_5d,close_vs_ema9",2025-07-31,2026-03-31
